p,l,d,W
0E+00,7E-01,6E+01,1.3581E+00
0E+00,7E-01,7E+01,1.37252E+00
0E+00,7E-01,8E+01,1.38438E+00
0E+00,7E-01,9E+01,1.39442E+00
0E+00,7E-01,1E+02,1.40313E+00
0E+00,7E-01,1.2E+02,1.41678E+00
0E+00,7E-01,1.4E+02,1.42586E+00
0E+00,7E-01,1.6E+02,1.43226E+00
0E+00,7E-01,1.8E+02,1.4372E+00
0E+00,7E-01,2E+02,1.44126E+00
0E+00,7E-01,3E+02,1.45524E+00
0E+00,7E-01,4E+02,1.46397E+00
0E+00,7E-01,5E+02,1.46967E+00
0E+00,7E-01,1E+03,1.47936E+00
0E+00,8E-01,0E+00,7.1758E-01
0E+00,8E-01,1E-05,7.1758E-01
0E+00,8E-01,1E-04,7.17589E-01
0E+00,8E-01,1E-03,7.17675E-01
0E+00,8E-01,1E-02,7.18535E-01
0E+00,8E-01,1E-01,7.27132E-01
0E+00,8E-01,2E-01,7.36784E-01
0E+00,8E-01,3E-01,7.46334E-01
0E+00,8E-01,4E-01,7.55681E-01
0E+00,8E-01,5E-01,7.64747E-01
0E+00,8E-01,6E-01,7.73499E-01
0E+00,8E-01,7E-01,7.82017E-01
0E+00,8E-01,8E-01,7.90376E-01
0E+00,8E-01,9E-01,7.9864E-01
0E+00,8E-01,1E+00,8.06857E-01
0E+00,8E-01,2E+00,8.76772E-01
0E+00,8E-01,3E+00,9.30561E-01
0E+00,8E-01,4E+00,9.73711E-01
0E+00,8E-01,5E+00,1.00864E+00
0E+00,8E-01,6E+00,1.03742E+00
0E+00,8E-01,7E+00,1.06183E+00
0E+00,8E-01,8E+00,1.08301E+00
0E+00,8E-01,9E+00,1.10176E+00
0E+00,8E-01,1E+01,1.11873E+00
0E+00,8E-01,1.2E+01,1.14799E+00
0E+00,8E-01,1.4E+01,1.17064E+00
0E+00,8E-01,1.6E+01,1.18852E+00
0E+00,8E-01,1.8E+01,1.2033E+00
0E+00,8E-01,2E+01,1.21603E+00
0E+00,8E-01,2.5E+01,1.24153E+00
0E+00,8E-01,3E+01,1.26249E+00
0E+00,8E-01,3.5E+01,1.28042E+00
0E+00,8E-01,4E+01,1.29589E+00
0E+00,8E-01,4.5E+01,1.30939E+00
0E+00,8E-01,5E+01,1.32111E+00
0E+00,8E-01,6E+01,1.34016E+00
0E+00,8E-01,7E+01,1.35521E+00
0E+00,8E-01,8E+01,1.36758E+00
0E+00,8E-01,9E+01,1.37813E+00
0E+00,8E-01,1E+02,1.38793E+00
0E+00,8E-01,1.2E+02,1.40312E+00
0E+00,8E-01,1.4E+02,1.41358E+00
0E+00,8E-01,1.6E+02,1.42104E+00
0E+00,8E-01,1.8E+02,1.4268E+00
0E+00,8E-01,2E+02,1.4315E+00
0E+00,8E-01,3E+02,1.44723E+00
0E+00,8E-01,4E+02,1.45671E+00
0E+00,8E-01,5E+02,1.46269E+00
0E+00,8E-01,1E+03,1.47144E+00
0E+00,9E-01,0E+00,6.93966E-01
